variant,producer_us,consumer_start_rel_producer_us,post_producer_tail_us,envelope_us,overlap_us,pairs,source
Ordinary-Split,789.2295,1.024,9.088,798.4135,0.000,20,experiments/hazy_exact_boundary_pdl/nsys/paired20_summary.json
Split+PDL,790.7180,-709.662,5.008,795.7260,709.662,20,experiments/hazy_exact_boundary_pdl/nsys/paired20_summary.json
